تاریخ,تاریخ شمسی,قیمت فروش,درصد
2018-03-21,1397-01-01,4773,-
2018-03-22,1397-01-02,4773,0.0%
2018-03-23,1397-01-03,4773,0.0%
2018-03-24,1397-01-04,4773,0.0%
2018-03-25,1397-01-05,4773,0.0%
2018-03-26,1397-01-06,4773,0.0%
2018-03-27,1397-01-07,4773,0.0%
2018-03-28,1397-01-08,4773,0.0%
2018-03-29,1397-01-09,4773,0.0%
2018-03-30,1397-01-10,4773,0.0%
2018-03-31,1397-01-11,4773,0.0%
2018-04-01,1397-01-12,4773,0.0%
2018-04-02,1397-01-13,4773,0.0%
2018-04-03,1397-01-14,5120,7.3%
2018-04-04,1397-01-15,5120,0.0%
2018-04-05,1397-01-16,5130,0.2%
2018-04-06,1397-01-17,5130,0.0%
2018-04-07,1397-01-18,5280,2.9%
2018-04-08,1397-01-19,5750,8.9%
2018-04-09,1397-01-20,6100,6.1%
2018-04-10,1397-01-21,6100,0.0%
2018-04-11,1397-01-22,6100,0.0%
2018-04-12,1397-01-23,5500,-9.8%
2018-04-13,1397-01-24,5500,0.0%
2018-04-14,1397-01-25,5500,0.0%
2018-04-15,1397-01-26,5600,1.8%
2018-04-16,1397-01-27,5650,0.9%
2018-04-17,1397-01-28,5650,0.0%
2018-04-18,1397-01-29,5800,2.7%
2018-04-19,1397-01-30,5800,0.0%
2018-04-20,1397-01-31,5800,0.0%
2018-04-21,1397-02-01,5600,-3.4%
2018-04-22,1397-02-02,5600,0.0%
2018-04-23,1397-02-03,5600,0.0%
2018-04-24,1397-02-04,5600,0.0%
2018-04-25,1397-02-05,5600,0.0%
2018-04-26,1397-02-06,5650,0.9%
2018-04-27,1397-02-07,5650,0.0%
2018-04-28,1397-02-08,5680,0.5%
2018-04-29,1397-02-09,5700,0.4%
2018-04-30,1397-02-10,5750,0.9%
2018-05-01,1397-02-11,6050,5.2%
2018-05-02,1397-02-12,6050,0.0%
2018-05-03,1397-02-13,6140,1.5%
2018-05-04,1397-02-14,6140,0.0%
2018-05-05,1397-02-15,6400,4.2%
2018-05-06,1397-02-16,6780,5.9%
2018-05-07,1397-02-17,6500,-4.1%
2018-05-08,1397-02-18,6450,-0.8%
